date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:08	2132/2132	U-----	200	untouched ('OK')	text/html	etag:W/%22854-5fa52df99f2c4%22	https://www.southampton.ac.uk/~cpd/Ecal2013.html	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/Ecal2013.html	(from https://www.southampton.ac.uk/~cpd/)
14:44:08	34562/34562	U-----	200	untouched ('OK')	text/html	etag:W/%228702-56dce78f28f07%22	https://www.southampton.ac.uk/~cpd/programs/index.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/programs/index.html	(from https://www.southampton.ac.uk/~cpd/)
14:44:09	14114/14114	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267d29f15-3722%22	https://www.southampton.ac.uk/~cpd/mean2_files/editdata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/mean2_files/editdata.1c.delayed	(from https://www.southampton.ac.uk/~cpd/mean2.html)
14:44:09	27136/27136	U-----	200	untouched ('OK')	text/html	etag:%226a00-56dce789d9fe3%22	https://www.southampton.ac.uk/~cpd/mean2_files/oledata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/mean2_files/oledata.html	(from https://www.southampton.ac.uk/~cpd/mean2.html)
14:44:10	14114/14114	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267d29f15-3722%22	https://www.southampton.ac.uk/~cpd/term_files/editdata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/term_files/editdata.34.delayed	(from https://www.southampton.ac.uk/~cpd/term.html)
14:44:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2007:44:11%20GMT	http://c.statcounter.com/9010802/0/50a3b344/1/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/c.statcounter.com/9010802/0/50a3b344/1/index.html	(from https://www.southampton.ac.uk/~cpd/term.html)
14:44:11	8192/8192	U-----	200	untouched ('OK')	text/html	etag:%222000-56dce78e7bdf5%22	https://www.southampton.ac.uk/~cpd/term_files/oledata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/term_files/oledata.html	(from https://www.southampton.ac.uk/~cpd/term.html)
14:44:11	14114/14114	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267d29f15-3722%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/index_files/editdata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/index_files/editdata.mso	(from https://www.southampton.ac.uk/~cpd/anovas/datasets/)
14:44:12	14114/14114	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267d29f15-3722%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/Youden%20square	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/Youden%20square	(from https://www.southampton.ac.uk/~cpd/anovas/datasets/)
14:44:43	5319/5319	U-----	200	untouched ('OK')	text/html	etag:W/%2214c7-5f0828ff8ef33%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/ANOVA.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/ANOVA.html	(from https://www.southampton.ac.uk/~cpd/anovas/datasets/)
