date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:36	838/838	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2267dbd98a-15a9%22	https://www.southampton.ac.uk/robots.txt		(from )
10:16:36	69252/69252	U-----	200	untouched ('OK')	text/html	etag:W/%2210e84-62cfebe50a4cd%22	https://www.southampton.ac.uk/~cpd/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/index.html	(from )
10:16:36	71715/71715	U-----	200	untouched ('OK')	text/html	etag:W/%2211823-61c42689c69e4%22	https://www.southampton.ac.uk/~cpd/anovas/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/index.html	(from )
10:16:38	222272/222272	---M--	200	added ('OK')	image/jpeg	etag:%2236440-590b0b60e6257%22	https://www.southampton.ac.uk/~cpd/index_files/2019-08-18%20CPD2.jpg	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/index_files/2019-08-18%20CPD2.jpg	(from https://www.southampton.ac.uk/~cpd/)
10:16:38	20429/20429	---M--	200	added ('OK')	image/jpeg	etag:%224fcd-56dce7908610c%22	https://www.southampton.ac.uk/~cpd/index_files/image002.jpg	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/index_files/image002.jpg	(from https://www.southampton.ac.uk/~cpd/)
10:16:39	103/103	---M--	200	added ('OK')	image/gif	etag:%2267-56dce79064c23%22	https://www.southampton.ac.uk/~cpd/index_files/image001.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/index_files/image001.gif	(from https://www.southampton.ac.uk/~cpd/)
10:16:41	252243/252243	---M--	200	added ('OK')	application/pdf	etag:%223d953-5b3abf3588ec0%22	https://www.southampton.ac.uk/~cpd/Measures%20of%20variation%20around%20the%20sample%20mean.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/Measures%20of%20variation%20around%20the%20sample%20mean.pdf	(from https://www.southampton.ac.uk/~cpd/)
10:16:41	38601/38601	U-----	200	untouched ('OK')	text/html	etag:W/%2296c9-56dce791f865a%22	https://www.southampton.ac.uk/~cpd/mean2.html	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/mean2.html	(from https://www.southampton.ac.uk/~cpd/)
10:16:42	2705/2705	U-----	200	untouched ('')	text/plain	etag:W/%22a91-56dce791b3a00%22	https://www.southampton.ac.uk/~cpd/Sample%20mean%20and%20CI%20with%20plotmeans.R	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/Sample%20mean%20and%20CI%20with%20plotmeans.R	(from https://www.southampton.ac.uk/~cpd/)
10:16:43	30373/30373	U-----	200	untouched ('OK')	text/html	etag:W/%2276a5-56dce790ff775%22	https://www.southampton.ac.uk/~cpd/term.html	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/term.html	(from https://www.southampton.ac.uk/~cpd/)
10:16:43	87091/87091	U-----	200	untouched ('OK')	text/html	etag:W/%2215433-61c4275aa1598%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/index.html	(from https://www.southampton.ac.uk/~cpd/)
10:16:43	236896/236896	---M--	200	added ('OK')	application/pdf	etag:%2239d60-5f98ab17ec373%22	https://www.southampton.ac.uk/~cpd/Logical%20framework%20for%20valuing%20natural%20capital.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/Logical%20framework%20for%20valuing%20natural%20capital.pdf	(from https://www.southampton.ac.uk/~cpd/)
