date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:25	3932/3932	---M--	200	added ('OK')	text/html	etag:%22f5c-616293c6a0ef3%22	https://www.itl.nist.gov/div898/handbook/pmc/section5/pmc5435.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section5/pmc5435.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:27	3775/3775	---M--	200	added ('OK')	text/html	etag:%22ebf-616293c74ab9b%22	https://www.itl.nist.gov/div898/handbook/pmc/section5/pmc5436.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section5/pmc5436.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:28	28000/28000	---M--	200	added ('OK')	text/html	etag:%226d60-616293c9206d8%22	https://www.itl.nist.gov/div898/handbook/pmc/section5/pmc551.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section5/pmc551.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:29	13987/13987	---M--	200	added ('OK')	text/html	etag:%2236a3-616293c9d6ca9%22	https://www.itl.nist.gov/div898/handbook/pmc/section5/pmc552.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section5/pmc552.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:30	30473/30473	---M--	200	added ('OK')	text/html	etag:%227709-5de0d440e698c%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc611.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:31	11623/11623	---M--	200	added ('OK')	text/html	etag:%222d67-5de0d44168f71%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc612.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc612.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:31	9425/9425	---M--	200	added ('OK')	text/html	etag:%2224d1-5de0d441e1153%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc613.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc613.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:32	6634/6634	---M--	200	added ('OK')	text/html	etag:%2219ea-5de0d4425838c%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc614.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc614.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:33	10113/10113	---M--	200	added ('OK')	text/html	etag:%222781-5de0d442d72c7%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc615.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc615.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:34	13230/13230	---M--	200	added ('OK')	text/html	etag:%2233ae-5de0d4a04551b%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc621.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:35	8955/8955	---M--	200	added ('OK')	text/html	etag:%2222fb-5de0d4a0c4845%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc622.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc622.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:37	6758/6758	---M--	200	added ('OK')	text/html	etag:%221a66-5de0d4a143393%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc623.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc623.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:38	9639/9639	---M--	200	added ('OK')	text/html	etag:%2225a7-5de0d4a1c78c0%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc624.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc624.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:39	8831/8831	---M--	200	added ('OK')	text/html	etag:%22227f-5de0d4a243d02%22	https://www.itl.nist.gov/div898/handbook/pmc/section6/pmc625.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/section6/pmc625.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:39	5984/5984	---M--	200	added ('OK')	text/html	etag:%221760-616378dbd9678%22	https://www.itl.nist.gov/div898/handbook/prc/section1/prc131.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section1/prc131.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:40	5432/5432	---M--	200	added ('OK')	text/html	etag:%221538-616379537603f%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc211.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc211.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:41	4988/4988	---M--	200	added ('OK')	text/html	etag:%22137c-6163795404190%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc212.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc212.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:42	7098/7098	---M--	200	added ('OK')	text/html	etag:%221bba-6163795498c59%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc213.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc213.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:44	7457/7457	---M--	200	added ('OK')	text/html	etag:%221d21-61637955bbe4f%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc221.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc221.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:45	14389/14389	---M--	200	added ('OK')	text/html	etag:%223835-6163795663dad%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc222.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc222.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:45	6776/6776	---M--	200	added ('OK')	text/html	etag:%221a78-61637957a9087%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc231.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc231.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:47	12395/12395	---M--	200	added ('OK')	text/html	etag:%22306b-6163795866b87%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc232.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc232.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
